id,product_id,transaction_type,quantity,stock_after,reason,reference_id,batch_id,transaction_date,created_by,created_at
1,1,IN,1012.5,1012.5,Initial stock seeding,SYS-INIT,1,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
2,2,IN,375.0,375.0,Initial stock seeding,SYS-INIT,2,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
3,3,IN,312.5,312.5,Initial stock seeding,SYS-INIT,3,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
4,4,IN,1000.0,1000.0,Initial stock seeding,SYS-INIT,4,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
5,5,IN,612.5,612.5,Initial stock seeding,SYS-INIT,5,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
6,6,IN,420.0,420.0,Initial stock seeding,SYS-INIT,6,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
7,7,IN,560.0,560.0,Initial stock seeding,SYS-INIT,7,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
8,8,IN,262.5,262.5,Initial stock seeding,SYS-INIT,8,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
9,9,IN,250.0,250.0,Initial stock seeding,SYS-INIT,9,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
10,10,IN,375.0,375.0,Initial stock seeding,SYS-INIT,10,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
11,11,IN,495.0,495.0,Initial stock seeding,SYS-INIT,11,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
12,12,IN,315.0,315.0,Initial stock seeding,SYS-INIT,12,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
13,13,IN,180.0,180.0,Initial stock seeding,SYS-INIT,13,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
14,14,IN,375.0,375.0,Initial stock seeding,SYS-INIT,14,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
15,15,IN,250.0,250.0,Initial stock seeding,SYS-INIT,15,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
16,16,IN,180.0,180.0,Initial stock seeding,SYS-INIT,16,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
17,17,IN,1000.0,1000.0,Initial stock seeding,SYS-INIT,17,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
18,18,IN,280.0,280.0,Initial stock seeding,SYS-INIT,18,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
19,19,IN,560.0,560.0,Initial stock seeding,SYS-INIT,19,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
20,20,IN,225.0,225.0,Initial stock seeding,SYS-INIT,20,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
21,21,IN,1500.0,1500.0,Initial stock seeding,SYS-INIT,21,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
22,22,IN,3375.0,3375.0,Initial stock seeding,SYS-INIT,22,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
23,23,IN,1600.0,1600.0,Initial stock seeding,SYS-INIT,23,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
24,24,IN,625.0,625.0,Initial stock seeding,SYS-INIT,24,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
25,25,IN,1500.0,1500.0,Initial stock seeding,SYS-INIT,25,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
26,26,IN,450.0,450.0,Initial stock seeding,SYS-INIT,26,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
27,27,IN,210.0,210.0,Initial stock seeding,SYS-INIT,27,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
28,28,IN,337.5,337.5,Initial stock seeding,SYS-INIT,28,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
29,29,IN,100.0,100.0,Initial stock seeding,SYS-INIT,29,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
30,30,IN,1000.0,1000.0,Initial stock seeding,SYS-INIT,30,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
31,31,IN,1125.0,1125.0,Initial stock seeding,SYS-INIT,31,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
32,32,IN,315.0,315.0,Initial stock seeding,SYS-INIT,32,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
33,33,IN,1575.0,1575.0,Initial stock seeding,SYS-INIT,33,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
34,34,IN,375.0,375.0,Initial stock seeding,SYS-INIT,34,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
35,35,IN,375.0,375.0,Initial stock seeding,SYS-INIT,35,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
36,36,IN,300.0,300.0,Initial stock seeding,SYS-INIT,36,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
37,37,IN,315.0,315.0,Initial stock seeding,SYS-INIT,37,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
38,38,IN,2000.0,2000.0,Initial stock seeding,SYS-INIT,38,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
39,39,IN,1050.0,1050.0,Initial stock seeding,SYS-INIT,39,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
40,40,IN,1000.0,1000.0,Initial stock seeding,SYS-INIT,40,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
41,41,IN,625.0,625.0,Initial stock seeding,SYS-INIT,41,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
42,42,IN,300.0,300.0,Initial stock seeding,SYS-INIT,42,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
43,43,IN,262.5,262.5,Initial stock seeding,SYS-INIT,43,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
44,44,IN,750.0,750.0,Initial stock seeding,SYS-INIT,44,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
45,45,IN,560.0,560.0,Initial stock seeding,SYS-INIT,45,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
46,46,IN,450.0,450.0,Initial stock seeding,SYS-INIT,46,2025-08-01T00:00:00+00:00,1,2025-08-01T00:00:00+00:00
