id,product_id,batch_number,quantity,manufacturing_date,expiry_date,received_date,created_at,updated_at
1,1,BAT-MED-PCM-500-INIT,1012.5,2025-07-02,2026-06-17,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
2,2,BAT-MED-IBU-400-INIT,375.0,2025-07-02,2026-02-20,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
3,3,BAT-MED-AMX-500-INIT,312.5,2025-07-02,2026-02-24,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
4,4,BAT-MED-MET-500-INIT,1000.0,2025-07-02,2026-11-07,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
5,5,BAT-MED-ATO-20-INIT,612.5,2025-07-02,2026-06-26,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
6,6,BAT-MED-OME-20-INIT,420.0,2025-07-02,2027-01-20,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
7,7,BAT-MED-AML-5-INIT,560.0,2025-07-02,2026-04-02,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
8,8,BAT-MED-AZI-250-INIT,262.5,2025-07-02,2026-12-20,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
9,9,BAT-MED-GAB-300-INIT,250.0,2025-07-02,2026-10-06,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
10,10,BAT-MED-LOS-50-INIT,375.0,2025-07-02,2026-03-21,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
11,11,BAT-MED-PAN-40-INIT,495.0,2025-07-02,2026-02-03,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
12,12,BAT-MED-CET-10-INIT,315.0,2025-07-02,2026-11-17,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
13,13,BAT-MED-PRE-10-INIT,180.0,2025-07-02,2026-06-22,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
14,14,BAT-MED-CLO-75-INIT,375.0,2025-07-02,2026-09-25,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
15,15,BAT-MED-MON-10-INIT,250.0,2025-07-02,2026-09-30,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
16,16,BAT-MED-ALB-INH-INIT,180.0,2025-07-02,2026-09-10,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
17,17,BAT-MED-LEV-50-INIT,1000.0,2025-07-02,2026-07-21,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
18,18,BAT-MED-TRA-50-INIT,280.0,2025-07-02,2026-05-02,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
19,19,BAT-MED-MTP-25-INIT,560.0,2025-07-02,2026-02-23,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
20,20,BAT-MED-WAR-5-INIT,225.0,2025-07-02,2026-06-06,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
21,21,BAT-SUP-SYR-5ML-INIT,1500.0,2025-07-02,2026-09-29,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
22,22,BAT-SUP-SYR-2ML-INIT,3375.0,2025-07-02,2026-03-27,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
23,23,BAT-SUP-SYR-10ML-INIT,1600.0,2025-07-02,2026-03-02,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
24,24,BAT-SUP-IVC-20G-INIT,625.0,2025-07-02,2026-08-21,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
25,25,BAT-SUP-IVC-22G-INIT,1500.0,2025-07-02,2026-10-06,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
26,26,BAT-SUP-IVC-18G-INIT,450.0,2025-07-02,2026-03-06,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
27,27,BAT-SUP-ALC-PAD-INIT,210.0,2025-07-02,2026-11-19,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
28,28,BAT-SUP-CTN-ROL-INIT,337.5,2025-07-02,2026-12-16,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
29,29,BAT-SUP-ADH-PLST-INIT,100.0,2025-07-02,2027-01-14,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
30,30,BAT-SUP-BND-4IN-INIT,1000.0,2025-07-02,2026-02-24,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
31,31,BAT-SUP-BND-3IN-INIT,1125.0,2025-07-02,2026-04-15,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
32,32,BAT-SUP-GZE-SWB-INIT,315.0,2025-07-02,2026-04-14,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
33,33,BAT-SUP-IVF-SET-INIT,1575.0,2025-07-02,2026-11-12,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
34,34,BAT-SUP-URN-BAG-INIT,375.0,2025-07-02,2026-07-02,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
35,35,BAT-SUP-FOL-CAT-INIT,375.0,2025-07-02,2026-03-12,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
36,36,BAT-SUP-DSC-11-INIT,300.0,2025-07-02,2026-06-04,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
37,37,BAT-SUP-DSC-15-INIT,315.0,2025-07-02,2026-03-29,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
38,38,BAT-SUP-WTR-10ML-INIT,2000.0,2025-07-02,2026-11-09,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
39,39,BAT-SUP-SAL-500-INIT,1050.0,2025-07-02,2026-08-29,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
40,40,BAT-SUP-RIN-500-INIT,1000.0,2025-07-02,2026-12-04,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
41,41,BAT-PPE-GLV-LAT-M-INIT,625.0,2025-07-02,2026-11-29,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
42,42,BAT-PPE-GLV-LAT-L-INIT,300.0,2025-07-02,2026-12-10,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
43,43,BAT-PPE-GLV-LAT-S-INIT,262.5,2025-07-02,2026-05-23,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
44,44,BAT-PPE-GLV-NIT-M-INIT,750.0,2025-07-02,2026-10-22,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
45,45,BAT-PPE-GLV-NIT-L-INIT,560.0,2025-07-02,2026-08-10,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
46,46,BAT-PPE-GLV-NIT-S-INIT,450.0,2025-07-02,2026-09-15,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
47,47,BAT-PPE-MSK-N95-INIT,1125.0,2025-07-02,2026-09-11,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
48,48,BAT-PPE-MSK-3PLY-INIT,225.0,2025-07-02,2026-06-29,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
49,49,BAT-PPE-GWN-STR-INIT,275.0,2025-07-02,2026-11-25,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
50,50,BAT-PPE-GWN-DSP-INIT,437.5,2025-07-02,2026-09-04,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
51,51,BAT-PPE-GOG-PRT-INIT,125.0,2025-07-02,2026-07-03,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
52,52,BAT-PPE-FSH-CLR-INIT,100.0,2025-07-02,2026-11-15,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
53,53,BAT-PPE-SHC-DSP-INIT,120.0,2025-07-02,2026-12-11,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
54,54,BAT-PPE-CAP-BLU-INIT,87.5,2025-07-02,2026-02-27,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
55,55,BAT-PPE-SAN-500-INIT,210.0,2025-07-02,2026-12-06,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
56,56,BAT-PPE-SAN-100-INIT,450.0,2025-07-02,2026-03-19,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
57,57,BAT-PPE-WIP-DIS-INIT,200.0,2025-07-02,2026-05-14,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
58,58,BAT-PPE-BIO-LRG-INIT,600.0,2025-07-02,2026-12-14,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
59,59,BAT-PPE-BIO-MED-INIT,1125.0,2025-07-02,2026-05-16,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
60,60,BAT-PPE-APR-WPR-INIT,70.0,2025-07-02,2026-06-12,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
61,61,BAT-SRG-VIC-30-INIT,135.0,2025-07-02,2027-01-01,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
62,62,BAT-SRG-VIC-20-INIT,100.0,2025-07-02,2026-03-10,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
63,63,BAT-SRG-VIC-40-INIT,80.0,2025-07-02,2026-04-18,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
64,64,BAT-SRG-SLK-30-INIT,75.0,2025-07-02,2026-05-30,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
65,65,BAT-SRG-SLK-20-INIT,80.0,2025-07-02,2026-04-26,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
66,66,BAT-SRG-MON-40-INIT,45.0,2025-07-02,2026-11-06,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
67,67,BAT-SRG-STP-DSP-INIT,200.0,2025-07-02,2026-03-07,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
68,68,BAT-SRG-STP-REM-INIT,200.0,2025-07-02,2026-04-18,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
69,69,BAT-SRG-NDL-EPI-INIT,270.0,2025-07-02,2026-01-29,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
70,70,BAT-SRG-SUC-TUB-INIT,225.0,2025-07-02,2026-08-25,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
71,71,BAT-SRG-LAP-SPN-INIT,375.0,2025-07-02,2026-09-15,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
72,72,BAT-SRG-BLD-10-INIT,67.5,2025-07-02,2027-01-15,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
73,73,BAT-SRG-BLD-22-INIT,40.0,2025-07-02,2026-11-28,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
74,74,BAT-SRG-BNE-WAX-INIT,30.0,2025-07-02,2026-09-25,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
75,75,BAT-SRG-FOL-18-INIT,150.0,2025-07-02,2026-06-26,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
76,76,BAT-SRG-TAP-2IN-INIT,315.0,2025-07-02,2026-02-13,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
77,77,BAT-SRG-SKN-PEN-INIT,187.5,2025-07-02,2026-05-26,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
78,78,BAT-SRG-SUC-YNK-INIT,240.0,2025-07-02,2026-06-24,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
79,79,BAT-SRG-DRP-CS-INIT,75.0,2025-07-02,2026-06-21,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
80,80,BAT-SRG-DRP-UNV-INIT,250.0,2025-07-02,2027-01-22,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
81,81,BAT-LAB-EDT-K2-INIT,3000.0,2025-07-02,2026-09-17,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
82,82,BAT-LAB-SRM-SST-INIT,4500.0,2025-07-02,2026-03-05,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
83,83,BAT-LAB-SCT-TUBE-INIT,1500.0,2025-07-02,2027-01-14,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
84,84,BAT-LAB-GLU-STP-INIT,300.0,2025-07-02,2026-05-27,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
85,85,BAT-LAB-HIV-KIT-INIT,125.0,2025-07-02,2026-06-12,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
86,86,BAT-LAB-HCV-KIT-INIT,90.0,2025-07-02,2026-12-14,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
87,87,BAT-LAB-SYP-KIT-INIT,80.0,2025-07-02,2026-11-25,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
88,88,BAT-LAB-URN-DIP-INIT,120.0,2025-07-02,2027-01-01,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
89,89,BAT-LAB-HCG-STR-INIT,675.0,2025-07-02,2026-05-09,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
90,90,BAT-LAB-DDM-KIT-INIT,45.0,2025-07-02,2026-09-02,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
91,91,BAT-LAB-TRP-KIT-INIT,135.0,2025-07-02,2026-03-27,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
92,92,BAT-LAB-CRP-KIT-INIT,40.0,2025-07-02,2026-11-02,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
93,93,BAT-LAB-RF-KIT-INIT,25.0,2025-07-02,2026-05-23,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
94,94,BAT-LAB-BLD-CUL-INIT,495.0,2025-07-02,2026-12-25,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
95,95,BAT-LAB-MAL-KIT-INIT,187.5,2025-07-02,2026-04-14,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
96,96,BAT-LAB-PIP-200-INIT,67.5,2025-07-02,2026-06-13,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
97,97,BAT-LAB-PIP-1KW-INIT,50.0,2025-07-02,2026-04-10,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
98,98,BAT-LAB-MIC-SLD-INIT,62.5,2025-07-02,2026-03-05,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
99,99,BAT-LAB-HCG-CAS-INIT,625.0,2025-07-02,2026-02-27,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
100,100,BAT-LAB-BGP-ANA-INIT,30.0,2025-07-02,2026-04-22,2025-08-01,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
101,24,BAT-SUP-IVC-20G-4,750.0,2025-07-27,2026-02-26,2025-08-11,2025-08-11T00:00:00+00:00,2025-08-11T00:00:00+00:00
102,47,BAT-PPE-MSK-N95-5,1350.0,2025-07-27,2026-08-28,2025-08-11,2025-08-11T00:00:00+00:00,2025-08-11T00:00:00+00:00
103,50,BAT-PPE-GWN-DSP-3,525.0,2025-07-27,2026-07-26,2025-08-11,2025-08-11T00:00:00+00:00,2025-08-11T00:00:00+00:00
104,98,BAT-LAB-MIC-SLD-7,75.0,2025-07-28,2026-05-24,2025-08-12,2025-08-12T00:00:00+00:00,2025-08-12T00:00:00+00:00
105,42,BAT-PPE-GLV-LAT-L-18,300.0,2025-07-29,2026-04-24,2025-08-13,2025-08-13T00:00:00+00:00,2025-08-13T00:00:00+00:00
106,26,BAT-SUP-IVC-18G-23,450.0,2025-07-30,2026-12-09,2025-08-14,2025-08-14T00:00:00+00:00,2025-08-14T00:00:00+00:00
107,29,BAT-SUP-ADH-PLST-24,120.0,2025-07-30,2026-05-29,2025-08-14,2025-08-14T00:00:00+00:00,2025-08-14T00:00:00+00:00
108,2,BAT-MED-IBU-400-12,450.0,2025-07-31,2026-12-06,2025-08-15,2025-08-15T00:00:00+00:00,2025-08-15T00:00:00+00:00
