id,purchase_order_id,product_id,requested_quantity,received_quantity,unit_price,created_at,updated_at
1,1,49,330.0,330.0,53.97,2025-08-07T00:00:00+00:00,2025-08-15T00:00:00+00:00
2,2,3,375.0,375.0,58.48,2025-08-07T00:00:00+00:00,2025-08-15T00:00:00+00:00
3,3,50,525.0,525.0,28.43,2025-08-07T00:00:00+00:00,2025-08-11T00:00:00+00:00
4,4,24,750.0,750.0,41.25,2025-08-08T00:00:00+00:00,2025-08-11T00:00:00+00:00
5,5,47,1350.0,1350.0,34.92,2025-08-08T00:00:00+00:00,2025-08-11T00:00:00+00:00
6,6,15,300.0,300.0,12.49,2025-08-08T00:00:00+00:00,2025-08-15T00:00:00+00:00
7,7,98,75.0,75.0,81.31,2025-08-08T00:00:00+00:00,2025-08-12T00:00:00+00:00
8,8,21,1800.0,1800.0,121.59,2025-08-08T00:00:00+00:00,2025-08-16T00:00:00+00:00
9,9,88,120.0,120.0,28.07,2025-08-09T00:00:00+00:00,2025-08-16T00:00:00+00:00
10,10,10,450.0,450.0,115.34,2025-08-09T00:00:00+00:00,2025-08-17T00:00:00+00:00
11,11,9,300.0,300.0,131.95,2025-08-09T00:00:00+00:00,2025-08-19T00:00:00+00:00
12,12,2,450.0,450.0,24.62,2025-08-09T00:00:00+00:00,2025-08-15T00:00:00+00:00
13,13,79,90.0,90.0,81.83,2025-08-09T00:00:00+00:00,2025-08-17T00:00:00+00:00
14,14,95,225.0,225.0,45.55,2025-08-09T00:00:00+00:00,2025-08-15T00:00:00+00:00
15,15,52,120.0,120.0,66.54,2025-08-09T00:00:00+00:00,2025-08-18T00:00:00+00:00
16,16,81,3000.0,3000.0,20.68,2025-08-09T00:00:00+00:00,2025-08-17T00:00:00+00:00
17,17,70,225.0,225.0,63.4,2025-08-10T00:00:00+00:00,2025-08-17T00:00:00+00:00
18,18,42,300.0,300.0,47.62,2025-08-10T00:00:00+00:00,2025-08-13T00:00:00+00:00
19,19,48,225.0,225.0,5.5,2025-08-10T00:00:00+00:00,2025-08-19T00:00:00+00:00
20,20,12,270.0,270.0,149.28,2025-08-11T00:00:00+00:00,2025-08-18T00:00:00+00:00
21,21,90,45.0,45.0,43.28,2025-08-11T00:00:00+00:00,2025-08-15T00:00:00+00:00
22,22,93,30.0,30.0,142.31,2025-08-11T00:00:00+00:00,2025-08-18T00:00:00+00:00
23,23,26,450.0,450.0,34.22,2025-08-11T00:00:00+00:00,2025-08-14T00:00:00+00:00
24,24,29,120.0,120.0,38.44,2025-08-11T00:00:00+00:00,2025-08-14T00:00:00+00:00
25,25,39,900.0,900.0,2.52,2025-08-12T00:00:00+00:00,2025-08-20T00:00:00+00:00
26,26,8,225.0,225.0,4.88,2025-08-12T00:00:00+00:00,2025-08-20T00:00:00+00:00
27,27,37,270.0,270.0,33.17,2025-08-13T00:00:00+00:00,2025-08-22T00:00:00+00:00
28,28,66,45.0,45.0,129.5,2025-08-13T00:00:00+00:00,2025-08-20T00:00:00+00:00
29,29,100,30.0,30.0,35.67,2025-08-13T00:00:00+00:00,2025-08-17T00:00:00+00:00
30,30,77,225.0,225.0,58.11,2025-08-13T00:00:00+00:00,2025-08-16T00:00:00+00:00
31,31,13,180.0,180.0,11.48,2025-08-13T00:00:00+00:00,2025-08-17T00:00:00+00:00
32,32,55,210.0,210.0,64.23,2025-08-13T00:00:00+00:00,2025-08-20T00:00:00+00:00
33,33,58,600.0,600.0,72.03,2025-08-14T00:00:00+00:00,2025-08-18T00:00:00+00:00
34,34,6,420.0,420.0,137.07,2025-08-14T00:00:00+00:00,2025-08-21T00:00:00+00:00
35,35,75,150.0,150.0,138.09,2025-08-14T00:00:00+00:00,2025-08-21T00:00:00+00:00
36,36,54,75.0,75.0,47.77,2025-08-14T00:00:00+00:00,2025-08-21T00:00:00+00:00
37,37,36,300.0,300.0,19.08,2025-08-14T00:00:00+00:00,2025-08-21T00:00:00+00:00
38,38,83,1500.0,1500.0,18.0,2025-08-15T00:00:00+00:00,2025-08-21T00:00:00+00:00
39,39,34,375.0,375.0,44.18,2025-08-16T00:00:00+00:00,2025-08-23T00:00:00+00:00
40,40,38,1500.0,1500.0,135.99,2025-08-16T00:00:00+00:00,2025-08-23T00:00:00+00:00
41,41,71,375.0,375.0,59.64,2025-08-16T00:00:00+00:00,2025-08-20T00:00:00+00:00
42,42,32,270.0,270.0,3.38,2025-08-16T00:00:00+00:00,2025-08-24T00:00:00+00:00
43,43,5,525.0,525.0,25.41,2025-08-16T00:00:00+00:00,2025-08-20T00:00:00+00:00
44,44,78,180.0,180.0,113.3,2025-08-17T00:00:00+00:00,2025-08-23T00:00:00+00:00
45,45,45,420.0,420.0,28.55,2025-08-18T00:00:00+00:00,2025-08-25T00:00:00+00:00
46,46,64,75.0,75.0,69.56,2025-08-18T00:00:00+00:00,2025-08-25T00:00:00+00:00
47,47,74,30.0,30.0,66.5,2025-08-19T00:00:00+00:00,2025-08-27T00:00:00+00:00
48,48,53,90.0,90.0,142.43,2025-08-19T00:00:00+00:00,2025-08-23T00:00:00+00:00
49,49,23,1200.0,1200.0,33.63,2025-08-19T00:00:00+00:00,2025-08-22T00:00:00+00:00
50,50,89,450.0,450.0,70.8,2025-08-19T00:00:00+00:00,2025-08-27T00:00:00+00:00
51,51,57,150.0,150.0,91.79,2025-08-19T00:00:00+00:00,2025-08-29T00:00:00+00:00
52,52,65,60.0,60.0,122.62,2025-08-19T00:00:00+00:00,2025-08-25T00:00:00+00:00
53,53,60,60.0,60.0,121.37,2025-08-19T00:00:00+00:00,2025-08-23T00:00:00+00:00
