id,supplier_id,order_date,required_by_date,status,priority,total_items,notes,created_by,approved_by,approved_at,created_at,updated_at
1,14,2025-08-07T00:00:00+00:00,2025-08-15T00:00:00+00:00,DELIVERED,NORMAL,1,Auto-generated for replenishing Surgical Gown Sterile. Days remaining: 6.5,2,1,2025-08-12T00:00:00+00:00,2025-08-07T00:00:00+00:00,2025-08-15T00:00:00+00:00
2,10,2025-08-07T00:00:00+00:00,2025-08-15T00:00:00+00:00,DELIVERED,NORMAL,1,Auto-generated for replenishing Amoxicillin 500mg. Days remaining: 7.0,2,1,2025-08-12T00:00:00+00:00,2025-08-07T00:00:00+00:00,2025-08-15T00:00:00+00:00
3,1,2025-08-07T00:00:00+00:00,2025-08-11T00:00:00+00:00,DELIVERED,NORMAL,1,Auto-generated for replenishing Disposable Gown Blue. Days remaining: 6.4,2,1,2025-08-08T00:00:00+00:00,2025-08-07T00:00:00+00:00,2025-08-11T00:00:00+00:00
4,7,2025-08-08T00:00:00+00:00,2025-08-11T00:00:00+00:00,DELIVERED,NORMAL,1,Auto-generated for replenishing IV Cannula 20G. Days remaining: 6.4,2,1,2025-08-08T00:00:00+00:00,2025-08-08T00:00:00+00:00,2025-08-11T00:00:00+00:00
5,7,2025-08-08T00:00:00+00:00,2025-08-11T00:00:00+00:00,DELIVERED,NORMAL,1,Auto-generated for replenishing N95 Respirator Mask. Days remaining: 6.4,2,1,2025-08-08T00:00:00+00:00,2025-08-08T00:00:00+00:00,2025-08-11T00:00:00+00:00
6,15,2025-08-08T00:00:00+00:00,2025-08-15T00:00:00+00:00,DELIVERED,NORMAL,1,Auto-generated for replenishing Montelukast 10mg. Days remaining: 6.6,2,1,2025-08-12T00:00:00+00:00,2025-08-08T00:00:00+00:00,2025-08-15T00:00:00+00:00
7,6,2025-08-08T00:00:00+00:00,2025-08-12T00:00:00+00:00,DELIVERED,NORMAL,1,Auto-generated for replenishing Microscope Slides. Days remaining: 6.3,2,1,2025-08-09T00:00:00+00:00,2025-08-08T00:00:00+00:00,2025-08-12T00:00:00+00:00
8,14,2025-08-08T00:00:00+00:00,2025-08-16T00:00:00+00:00,DELIVERED,NORMAL,1,Auto-generated for replenishing Syringes (5ml). Days remaining: 6.3,2,1,2025-08-13T00:00:00+00:00,2025-08-08T00:00:00+00:00,2025-08-16T00:00:00+00:00
9,12,2025-08-09T00:00:00+00:00,2025-08-16T00:00:00+00:00,DELIVERED,NORMAL,1,Auto-generated for replenishing Urine Dipsticks 10T. Days remaining: 6.8,2,1,2025-08-13T00:00:00+00:00,2025-08-09T00:00:00+00:00,2025-08-16T00:00:00+00:00
10,14,2025-08-09T00:00:00+00:00,2025-08-17T00:00:00+00:00,DELIVERED,NORMAL,1,Auto-generated for replenishing Losartan 50mg. Days remaining: 6.4,2,1,2025-08-14T00:00:00+00:00,2025-08-09T00:00:00+00:00,2025-08-17T00:00:00+00:00
11,4,2025-08-09T00:00:00+00:00,2025-08-19T00:00:00+00:00,DELIVERED,NORMAL,1,Auto-generated for replenishing Gabapentin 300mg. Days remaining: 6.7,2,1,2025-08-16T00:00:00+00:00,2025-08-09T00:00:00+00:00,2025-08-19T00:00:00+00:00
12,13,2025-08-09T00:00:00+00:00,2025-08-15T00:00:00+00:00,DELIVERED,NORMAL,1,Auto-generated for replenishing Ibuprofen 400mg. Days remaining: 6.4,2,1,2025-08-12T00:00:00+00:00,2025-08-09T00:00:00+00:00,2025-08-15T00:00:00+00:00
13,8,2025-08-09T00:00:00+00:00,2025-08-17T00:00:00+00:00,DELIVERED,NORMAL,1,Auto-generated for replenishing C-Section Drape. Days remaining: 6.8,2,1,2025-08-14T00:00:00+00:00,2025-08-09T00:00:00+00:00,2025-08-17T00:00:00+00:00
14,13,2025-08-09T00:00:00+00:00,2025-08-15T00:00:00+00:00,DELIVERED,NORMAL,1,Auto-generated for replenishing Malaria Antigen Kit. Days remaining: 6.3,2,1,2025-08-12T00:00:00+00:00,2025-08-09T00:00:00+00:00,2025-08-15T00:00:00+00:00
15,5,2025-08-09T00:00:00+00:00,2025-08-18T00:00:00+00:00,DELIVERED,NORMAL,1,Auto-generated for replenishing Face Shield Clear. Days remaining: 6.9,2,1,2025-08-15T00:00:00+00:00,2025-08-09T00:00:00+00:00,2025-08-18T00:00:00+00:00
