id,supplier_id,product_id,unit_price,minimum_order_quantity,delivery_days,priority,emergency_available,created_at,updated_at
1,7,1,55.58,675.0,3,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
2,3,1,62.61,450.0,3,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
3,13,2,24.62,450.0,6,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
4,3,2,28.78,300.0,5,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
5,10,3,58.48,375.0,8,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
6,8,3,66.05,250.0,7,2,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
7,11,4,102.89,600.0,4,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
8,9,4,119.62,400.0,8,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
9,2,5,25.41,525.0,4,1,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
10,1,5,30.32,350.0,5,2,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
11,9,6,137.07,420.0,7,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
12,15,6,156.78,280.0,7,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
13,3,7,81.83,480.0,3,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
14,14,7,97.24,320.0,7,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
15,10,8,4.88,225.0,8,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
16,6,8,5.77,150.0,5,2,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
17,4,9,131.95,300.0,10,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
18,2,9,140.24,200.0,6,2,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
19,14,10,115.34,450.0,8,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
20,3,10,132.52,300.0,3,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
21,5,11,64.62,330.0,9,1,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
22,4,11,76.85,220.0,10,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
23,12,12,149.28,270.0,7,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
24,11,12,165.11,180.0,6,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
25,2,13,11.48,180.0,4,1,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
26,1,13,13.07,120.0,4,2,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
27,10,14,12.51,375.0,8,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
